Ticker|Date|Price|Volume
ATRS|2021-01-04|3.89|1181537
ATRS|2021-01-05|3.815|1273463
ATRS|2021-01-06|3.85|1276509
ATRS|2021-01-07|3.95|714509
ATRS|2021-01-08|3.98|1851004
ATRS|2021-01-11|4.04|2047621
ATRS|2021-01-12|4.29|1827191
ATRS|2021-01-13|4.18|1278385
ATRS|2021-01-14|4.34|1966873
ATRS|2021-01-15|4.28|1047748
ATRS|2021-01-19|4.36|990175
ATRS|2021-01-20|4.295|950885
ATRS|2021-01-21|4.29|958823
ATRS|2021-01-22|4.56|1482483
ATRS|2021-01-25|4.565|1440758
ATRS|2021-01-26|4.54|971255
ATRS|2021-01-27|4.44|1216321
ATRS|2021-01-28|4.39|964453
HPQ|2021-01-04|24.11|8041633
HPQ|2021-01-05|24.46|7856547
HPQ|2021-01-06|24.96|8472010
HPQ|2021-01-07|25.75|9288638
HPQ|2021-01-08|25.53|7514120
HPQ|2021-01-11|25.78|8907136
HPQ|2021-01-12|25.91|7280747
HPQ|2021-01-13|25.71|6596846
HPQ|2021-01-14|25.62|8290469
HPQ|2021-01-15|25.17|8364612
HPQ|2021-01-19|25.14|6794305
HPQ|2021-01-20|25.2|6270504
HPQ|2021-01-21|25.36|7160067
HPQ|2021-01-22|25.27|6684494
HPQ|2021-01-25|25.02|9953342
HPQ|2021-01-26|24.62|11548348
HPQ|2021-01-27|24.85|12948572
HPQ|2021-01-28|24.87|9292903
AGNC|2021-01-04|15.39|8483940
AGNC|2021-01-05|15.31|6260940
AGNC|2021-01-06|15.37|7167946
AGNC|2021-01-07|15.43|5555629
AGNC|2021-01-08|15.54|4336832
AGNC|2021-01-11|15.38|4787883
AGNC|2021-01-12|15.56|4762105
AGNC|2021-01-13|15.52|3708680
AGNC|2021-01-14|15.62|3851785
AGNC|2021-01-15|15.65|4478801
AGNC|2021-01-19|15.79|4877421
AGNC|2021-01-20|15.9|5248606
AGNC|2021-01-21|16.085|7506757
AGNC|2021-01-22|16.14|5074646
AGNC|2021-01-25|16.25|8653451
AGNC|2021-01-26|16.16|10991334
AGNC|2021-01-27|15.79|11197920
AGNC|2021-01-28|15.82|8458128
AA|2021-01-04|23.25|5400324
AA|2021-01-05|23.67|4297930
AA|2021-01-06|25.21|5656874
AA|2021-01-07|25.23|4445458
AA|2021-01-08|24.99|2967826
AA|2021-01-11|24.56|3041869
AA|2021-01-12|25.08|2844175
AA|2021-01-13|24.44|2599874
AA|2021-01-14|25.09|3991370
AA|2021-01-15|23.28|5866810
AA|2021-01-19|23.09|5737725
AA|2021-01-20|22.84|5578332
AA|2021-01-21|20.01|22833827
AA|2021-01-22|19.4|11183386
AA|2021-01-25|19.34|7926939
AA|2021-01-26|18.56|5928799
AA|2021-01-27|18.66|9215320
AA|2021-01-28|18.5|7028644
B|2021-01-04|48.63|242162
B|2021-01-05|50.03|171535
B|2021-01-06|53.74|336953
B|2021-01-07|53.59|160733
B|2021-01-08|53.11|131748
B|2021-01-11|53.76|110761
B|2021-01-12|55.96|228608
B|2021-01-13|54.87|236860
B|2021-01-14|55.48|193887
B|2021-01-15|53.15|155194
B|2021-01-19|53.86|190703
B|2021-01-20|53.65|144495
B|2021-01-21|53.12|145270
B|2021-01-22|54.29|136470
B|2021-01-25|52.8|141339
B|2021-01-26|51.22|103369
B|2021-01-27|48.07|260900
B|2021-01-28|49.12|248640
ESI|2021-01-04|17.3|1798813
ESI|2021-01-05|17.78|1855778
ESI|2021-01-06|18.88|3072869
ESI|2021-01-07|19|2586514
ESI|2021-01-08|18.87|1185728
ESI|2021-01-11|18.79|1904258
ESI|2021-01-12|19.35|1232644
ESI|2021-01-13|19.06|1536632
ESI|2021-01-14|18.99|2867155
ESI|2021-01-15|18.41|2855367
ESI|2021-01-19|18.5|3393631
ESI|2021-01-20|17.97|1741977
ESI|2021-01-21|17.69|1401166
ESI|2021-01-22|17.54|1934553
ESI|2021-01-25|17.47|2275719
ESI|2021-01-26|16.95|1316894
ESI|2021-01-27|16.93|2501200
ESI|2021-01-28|17.38|1607379
CRMT|2021-01-04|107.23|39969
CRMT|2021-01-05|111.3|43610
CRMT|2021-01-06|116.16|71791
CRMT|2021-01-07|119.01|84662
CRMT|2021-01-08|119.5|30289
CRMT|2021-01-11|121.97|27463
CRMT|2021-01-12|125.35|23245
CRMT|2021-01-13|121.07|22755
CRMT|2021-01-14|124.53|33061
CRMT|2021-01-15|121.99|33554
CRMT|2021-01-19|121.5|82591
CRMT|2021-01-20|124.34|29449
CRMT|2021-01-21|125.11|24265
CRMT|2021-01-22|125.74|41311
CRMT|2021-01-25|121.28|37906
CRMT|2021-01-26|122.14|48986
CRMT|2021-01-27|116.43|76462
CRMT|2021-01-28|116.94|73643
ATSG|2021-01-04|30.94|516106
ATSG|2021-01-05|30.14|583764
ATSG|2021-01-06|29.44|827145
ATSG|2021-01-07|28.84|634132
ATSG|2021-01-08|28.17|932343
ATSG|2021-01-11|27.54|694016
ATSG|2021-01-12|28.61|435838
ATSG|2021-01-13|27.69|345147
ATSG|2021-01-14|27.76|435591
ATSG|2021-01-15|27.46|343498
ATSG|2021-01-19|27.47|391494
ATSG|2021-01-20|27.49|434904
ATSG|2021-01-21|27.4|282851
ATSG|2021-01-22|27.45|284227
ATSG|2021-01-25|26.71|466248
ATSG|2021-01-26|27|577382
ATSG|2021-01-27|27.15|505042
ATSG|2021-01-28|26.51|1214251
CNS|2021-01-04|71.42|109388
CNS|2021-01-05|71.37|100080
CNS|2021-01-06|74.44|157268
CNS|2021-01-07|72.93|126160
CNS|2021-01-08|71.67|144331
CNS|2021-01-11|72.71|78247
CNS|2021-01-12|73.6|64103
CNS|2021-01-13|73.74|99639
CNS|2021-01-14|74.54|83813
CNS|2021-01-15|73.63|96061
CNS|2021-01-19|73.8|87533
CNS|2021-01-20|74.25|97743
CNS|2021-01-21|73.95|146700
CNS|2021-01-22|73.27|142904
CNS|2021-01-25|72.03|105903
CNS|2021-01-26|72.18|114124
CNS|2021-01-27|68.38|179740
CNS|2021-01-28|68.8|174481
GM|2021-01-04|40.51|15768079
GM|2021-01-05|41.66|18045831
GM|2021-01-06|42.98|22694900
GM|2021-01-07|43.32|13625731
GM|2021-01-08|43.06|18426226
GM|2021-01-11|45.01|25887262
GM|2021-01-12|47.82|63889309
GM|2021-01-13|48.73|49229702
GM|2021-01-14|51.53|36839846
GM|2021-01-15|49.97|25293742
GM|2021-01-19|54.84|64143971
GM|2021-01-20|55.86|47428520
GM|2021-01-21|55.08|39886575
GM|2021-01-22|55.4|23895591
GM|2021-01-25|53.39|39844155
GM|2021-01-26|52.04|21648200
GM|2021-01-27|49.34|38315162
GM|2021-01-28|51.04|37573424
CTIC|2021-01-04|3.36|620317
CTIC|2021-01-05|3.41|369404
CTIC|2021-01-06|3.53|554295
CTIC|2021-01-07|3.53|414300
CTIC|2021-01-08|3.39|377058
CTIC|2021-01-11|3.45|387691
CTIC|2021-01-12|3.39|416896
CTIC|2021-01-13|3.3|362069
CTIC|2021-01-14|3.29|360715
CTIC|2021-01-15|3.24|362844
CTIC|2021-01-19|3.17|539552
CTIC|2021-01-20|3.12|724214
CTIC|2021-01-21|3.27|515999
CTIC|2021-01-22|3.37|503273
CTIC|2021-01-25|3.37|399115
CTIC|2021-01-26|3.33|417097
CTIC|2021-01-27|3.21|425387
CTIC|2021-01-28|3.3|453260
EVR|2021-01-04|108.08|247889
EVR|2021-01-05|109.27|473828
EVR|2021-01-06|116.29|483896
EVR|2021-01-07|119|426112
EVR|2021-01-08|115.94|393154
EVR|2021-01-11|116.17|280580
EVR|2021-01-12|119.07|315608
EVR|2021-01-13|117.28|395094
EVR|2021-01-14|118.09|390126
EVR|2021-01-15|118.77|322991
EVR|2021-01-19|120.47|286061
EVR|2021-01-20|118.52|360504
EVR|2021-01-21|114.83|306652
EVR|2021-01-22|114.56|225449
EVR|2021-01-25|112.99|444223
EVR|2021-01-26|109.23|443582
EVR|2021-01-27|106.57|590752
EVR|2021-01-28|111.56|603754
COHR|2021-01-04|148.21|196427
COHR|2021-01-05|152.42|119634
COHR|2021-01-06|153.04|122631
COHR|2021-01-07|171.1|362301
COHR|2021-01-08|173.81|275970
COHR|2021-01-11|175.7|213881
COHR|2021-01-12|164.52|303349
COHR|2021-01-13|152.94|337301
COHR|2021-01-14|155.4|166376
COHR|2021-01-15|151.95|213142
COHR|2021-01-19|197.01|5019834
COHR|2021-01-20|199.48|2033706
COHR|2021-01-21|203.35|1145600
COHR|2021-01-22|205.31|431401
COHR|2021-01-25|204.66|348019
COHR|2021-01-26|203.96|307825
COHR|2021-01-27|206.01|418959
COHR|2021-01-28|201.01|771062
AERI|2021-01-04|13.12|673833
AERI|2021-01-05|13.21|406297
AERI|2021-01-06|13.41|338207
AERI|2021-01-07|13.82|258372
AERI|2021-01-08|13.96|520120
AERI|2021-01-11|13.81|575300
AERI|2021-01-12|14.39|480993
AERI|2021-01-13|14.27|383475
AERI|2021-01-14|14.11|373245
AERI|2021-01-15|13.95|419394
AERI|2021-01-19|15.07|1599069
AERI|2021-01-20|15.96|1145048
AERI|2021-01-21|16.5|1196419
AERI|2021-01-22|16.81|878671
AERI|2021-01-25|18.21|2685464
AERI|2021-01-26|18.25|1522450
AERI|2021-01-27|18.19|1177317
AERI|2021-01-28|17.92|1476020
JNJ|2021-01-04|156.5|11765865
JNJ|2021-01-05|158.34|9602290
JNJ|2021-01-06|159.83|8230086
JNJ|2021-01-07|160.37|7747161
JNJ|2021-01-08|160.04|8228938
JNJ|2021-01-11|159.37|7068176
JNJ|2021-01-12|158.13|6903189
JNJ|2021-01-13|157.89|6643065
JNJ|2021-01-14|160.65|10030794
JNJ|2021-01-15|160.3|7630813
JNJ|2021-01-19|162.78|9057555
JNJ|2021-01-20|162.38|6839850
JNJ|2021-01-21|161.73|6822770
JNJ|2021-01-22|163.55|8137018
JNJ|2021-01-25|165.98|9924438
JNJ|2021-01-26|170.48|14205687
JNJ|2021-01-27|167.88|14207289
JNJ|2021-01-28|169.16|8944399
CTO|2021-01-04|41.68|54749
CTO|2021-01-05|42.62|40387
CTO|2021-01-06|41.9|49235
CTO|2021-01-07|42.2|58855
CTO|2021-01-08|41.97|15660
CTO|2021-01-11|42.51|43748
CTO|2021-01-12|45.95|80978
CTO|2021-01-13|46.47|56208
CTO|2021-01-14|46.77|78959
CTO|2021-01-15|45.85|39029
CTO|2021-01-19|45.57|82490
CTO|2021-01-20|45.6|24351
CTO|2021-01-21|44.92|31776
CTO|2021-01-22|45.37|26006
CTO|2021-01-25|44.87|25966
CTO|2021-01-26|43.76|36947
CTO|2021-01-27|42.4|36662
CTO|2021-01-28|43.01|33428
CTRE|2021-01-04|21.42|760440
CTRE|2021-01-05|22.08|792693
CTRE|2021-01-06|22.71|1423559
CTRE|2021-01-07|21.895|671699
CTRE|2021-01-08|22.4|718167
CTRE|2021-01-11|22.32|608574
CTRE|2021-01-12|22.75|450978
CTRE|2021-01-13|22.98|426647
CTRE|2021-01-14|22.54|651365
CTRE|2021-01-15|22.44|817997
CTRE|2021-01-19|22.39|516634
CTRE|2021-01-20|22.68|343683
CTRE|2021-01-21|22.71|478971
CTRE|2021-01-22|23.01|473980
CTRE|2021-01-25|23.06|565916
CTRE|2021-01-26|23.19|439878
CTRE|2021-01-27|22.48|906099
CTRE|2021-01-28|22.79|702901
DCO|2021-01-04|52.08|64798
DCO|2021-01-05|53.06|49738
DCO|2021-01-06|56.61|43869
DCO|2021-01-07|55.45|37096
DCO|2021-01-08|54.52|29123
DCO|2021-01-11|56.35|31866
DCO|2021-01-12|57.04|36851
DCO|2021-01-13|55.85|22326
DCO|2021-01-14|56.83|24095
DCO|2021-01-15|55.14|26056
DCO|2021-01-19|55.6|51976
DCO|2021-01-20|56.34|30648
DCO|2021-01-21|56.99|51712
DCO|2021-01-22|56.8|48022
DCO|2021-01-25|56.19|57478
DCO|2021-01-26|54|45641
DCO|2021-01-27|49.84|77070
DCO|2021-01-28|51.24|48942
CTS|2021-01-04|33.68|142105
CTS|2021-01-05|34.47|111870
CTS|2021-01-06|36.41|215711
CTS|2021-01-07|37|133043
CTS|2021-01-08|36.69|93252
CTS|2021-01-11|36.31|127167
CTS|2021-01-12|36.87|98045
CTS|2021-01-13|36.33|65059
CTS|2021-01-14|36.5|110161
CTS|2021-01-15|35.28|179229
CTS|2021-01-19|35.4|165674
CTS|2021-01-20|35.48|91272
CTS|2021-01-21|34.83|108901
CTS|2021-01-22|34.74|153584
CTS|2021-01-25|33.96|120298
CTS|2021-01-26|32.18|93664
CTS|2021-01-27|30.06|185008
CTS|2021-01-28|31.14|166404
AIMC|2021-01-04|54.93|703883
AIMC|2021-01-05|59.23|512861
AIMC|2021-01-06|63.62|922173
AIMC|2021-01-07|65.43|498385
AIMC|2021-01-08|64.36|628941
AIMC|2021-01-11|65.07|207740
AIMC|2021-01-12|64.16|653929
AIMC|2021-01-13|62.52|442478
AIMC|2021-01-14|59.83|558661
AIMC|2021-01-15|56.53|567378
AIMC|2021-01-19|56.52|542992
AIMC|2021-01-20|55.77|415533
AIMC|2021-01-21|56.68|312807
AIMC|2021-01-22|56.43|222423
AIMC|2021-01-25|55.66|290300
AIMC|2021-01-26|55.21|270652
AIMC|2021-01-27|52.42|523844
AIMC|2021-01-28|54.23|389457
PRO|2021-01-04|48.94|313284
PRO|2021-01-05|49.89|343893
PRO|2021-01-06|49.42|706757
PRO|2021-01-07|48.35|245713
PRO|2021-01-08|49|296841
PRO|2021-01-11|48.31|508124
PRO|2021-01-12|47.34|406510
PRO|2021-01-13|47.15|240394
PRO|2021-01-14|47.37|311711
PRO|2021-01-15|45.3|251545
PRO|2021-01-19|45.36|317782
PRO|2021-01-20|45.63|206994
PRO|2021-01-21|43.79|167639
PRO|2021-01-22|44.31|224195
PRO|2021-01-25|43.86|230667
PRO|2021-01-26|43.38|182428
PRO|2021-01-27|42.75|362123
PRO|2021-01-28|44.14|285696
EBF|2021-01-04|18.07|193572
EBF|2021-01-05|18.49|291110
EBF|2021-01-06|19.33|247007
EBF|2021-01-07|18.63|159678
EBF|2021-01-08|18.12|112318
EBF|2021-01-11|17.98|136140
EBF|2021-01-12|18.46|108982
EBF|2021-01-13|18.41|159235
EBF|2021-01-14|18.59|80472
EBF|2021-01-15|18.63|99145
EBF|2021-01-19|18.7|151220
EBF|2021-01-20|18.81|177520
EBF|2021-01-21|18.59|166036
EBF|2021-01-22|18.7|97383
EBF|2021-01-25|18.96|149924
EBF|2021-01-26|19.08|167950
EBF|2021-01-27|18.82|124201
EBF|2021-01-28|18.41|144882
CAC|2021-01-04|35.96|87573
CAC|2021-01-05|36.22|38882
CAC|2021-01-06|39.48|96614
CAC|2021-01-07|38.87|38180
CAC|2021-01-08|38.66|70263
CAC|2021-01-11|38.39|41359
CAC|2021-01-12|39.22|24722
CAC|2021-01-13|38.7|30198
CAC|2021-01-14|38.93|25856
CAC|2021-01-15|38.53|21032
CAC|2021-01-19|38.43|39950
CAC|2021-01-20|37.98|48967
CAC|2021-01-21|37.95|61359
CAC|2021-01-22|38.34|37525
CAC|2021-01-25|37.31|40258
CAC|2021-01-26|37.54|35696
CAC|2021-01-27|37.11|83389
CAC|2021-01-28|38.36|50438
COP|2021-01-04|39.57|8597631
COP|2021-01-05|41.84|12393560
COP|2021-01-06|43.51|11035322
COP|2021-01-07|44.7|9648195
COP|2021-01-08|44.7|9448745
COP|2021-01-11|45.36|10840855
COP|2021-01-12|47.42|13013701
COP|2021-01-13|47.03|11839851
COP|2021-01-14|47.87|12857946
COP|2021-01-15|45.12|30004648
COP|2021-01-19|46|14498781
COP|2021-01-20|45.36|21178015
COP|2021-01-21|43.19|16897866
COP|2021-01-22|42.69|9535422
COP|2021-01-25|42.58|10739769
COP|2021-01-26|41.68|7616289
COP|2021-01-27|40.65|8841899
COP|2021-01-28|41.11|10283257
AXDX|2021-01-04|8.02|303123
